year,confirmed,recovered,death
2021,29704,34296,89
2021,21402,99651,87
2021,31337,45926,97
2021,32762,48413,112
2021,30491,44369,128
2021,29673,41032,142
2021,28514,45400,176
2021,25820,37316,188
2021,17821,36039,196
2021,29803,33397,177
2021,28798,35525,151
2021,24166,30539,181
2021,22318,26270,194
2021,23513,28100,198
2021,19894,29013,186
2021,12300,28867,174
2021,19760,24117,194
2021,19661,29708,213
2021,18853,26569,153
2021,16229,25860,135
2021,17328,24003,209
2021,14672,21429,227
2021,9313,21921,211
2021,15567,20019,124
2021,16204,20237,156
2021,14424,17994,194
2021,14233,15355,173
2021,13832,18172,171
2021,11584,17856,206
2021,7719,16743,161
2021,12246,13536,166
2021,13270,15689,147
2021,12469,13614,88
2021,11361,12147,90
2021,12443,13145,115
2021,11647,12459,112
2021,7449,13596,94
2021,12617,11730,141
2021,12787,13683,150
2021,12078,11469,136
2021,11546,11056,118
2021,12118,11124,118
2021,10905,12351,62
2021,8063,11529,110
2021,13550,10283,104
2021,13658,11808,142
2021,12868,11564,124
2021,12095,10243,146
2021,12456,12515,135
2021,12100,11551,76
2021,8037,11346,102
2021,14373,10751,142
2021,15600,11629,148
2021,13772,11414,142
2021,13563,10454,130
2021,14087,11867,109
2021,12220,12502,97
2021,7798,11447,100
2021,14539,10331,124
2021,15637,12974,128
2021,13773,12370,87
2021,13750,10697,130
2021,16148,13197,114
2021,13956,13956,81
2021,9931,13206,58
2021,16848,12052,104
2021,17481,14131,105
2021,12818,13454,122
2021,17518,11067,132
2021,18531,15507,98
2021,17466,15247,66
2021,11586,14912,135
2021,22129,13415,156
2021,22056,17761,131
2021,22064,16649,128
2021,20772,14651,116
2021,20624,16865,80
2021,20728,17792,56
2021,13984,15923,118
2021,23676,15626,148
2021,22414,19478,108
2021,22040,20046,117
2021,19948,19480,187
2021,20367,20265,139
2021,18607,20108,93
2021,13049,20004,105
2021,21119,18493,152
2021,23500,19411,116
2021,21445,20723,160
2021,20452,16856,114
2021,19451,19104,105
2021,18582,20089,93
2021,12294,18542,142
2021,21613,18870,127
2021,21427,18731,179
2021,21116,19296,197
2021,20224,17142,99
2021,17106,20846,83
2021,10402,25586,66
2021,13383,21942,90
2021,24296,19349,173
2021,31445,20271,215
2021,30077,18997,162
2021,32801,18573,179
2021,31265,21468,153
2021,29836,22088,75
2021,19622,22563,132
2021,30203,20687,115
2021,32803,21610,173
2021,32097,21634,188
2021,29322,22938,131
2021,29682,25910,142
2021,26701,28900,74
2021,19688,28561,135
2021,25772,27320,189
2021,30196,27579,181
2021,26200,29209,125
2021,25010,23535,177
2021,20487,26155,181
2021,20240,29710,67
2021,15058,28439,99
2021,15876,25654,129
2021,17681,25588,208
2021,22182,26563,178
2021,23260,20388,131
2021,19325,27266,143
2021,19653,26711,152
2021,15692,22223,92
2021,15768,21367,214
2021,19675,19702,142
2021,19682,20510,152
2021,17983,15054,127
2021,16671,14242,120
2021,15951,17658,165
2021,11699,17763,58
2021,11196,18849,149
2021,12161,17862,149
2021,15914,16758,122
2021,13834,13767,95
2021,13217,14437,121
2021,12297,16333,74
2021,8850,17007,149
2021,9735,13878,151
2021,12616,14516,138
2021,12288,15808,141
2021,10944,12922,120
2021,9470,12881,101
2021,10691,12655,85
2021,6996,16576,84
2021,7823,12490,106
2021,11079,9972,123
2021,9246,10952,96
2021,8867,9872,67
2021,7955,11769,57
2021,7555,10773,74
2021,6676,11023,60
2021,7643,10488,77
2021,11150,8592,82
2021,8733,9855,118
2021,9361,9401,563
2021,8909,8780,464
2021,8538,11366,363
2021,6664,9010,281
2021,7163,6960,482
2021,9445,6723,662
2021,7738,5460,708
2021,7722,6648,471
2021,7427,7166,358
2021,7167,6439,167
2021,5297,7325,368
2021,6444,8424,187
2021,7312,8484,362
2021,7545,5936,136
2021,6580,7085,314
2021,6546,6934,467
2021,7124,7488,201
2021,5404,6136,262
2021,6409,6319,384
2021,7540,7841,259
2021,7224,7638,419
2021,6674,7022,412
2021,6468,6468,174
2021,5848,7228,65
2021,4547,6866,127
2021,5516,6705,210
2021,6849,6046,388
2021,6111,7202,372
2021,5754,6489,204
2021,6075,6061,248
2021,5080,7908,196
2021,3698,7515,180
2021,4972,5978,370
2021,4280,5379,308
2021,5987,5094,384
2021,4677,6632,388
2021,4741,5144,554
2021,4350,5691,159
2021,3382,5779,117
2021,4723,5370,177
2021,5405,4538,403
2021,4700,4128,320
2021,4995,4463,269
2021,4557,5108,315
2021,4450,4606,161
2021,3277,5833,168
2021,4656,5180,134
2021,5038,4039,112
2021,4169,4357,225
2021,3972,4836,340
2021,3795,4308,245
2021,3777,3856,143
2021,2434,4308,203
2021,3377,4073,174
2021,4006,3898,282
2021,3404,4145,320
2021,3471,4966,243
2021,3297,3609,218
2021,2995,4160,96
2021,2230,3722,419
2021,2748,3202,233
2021,3205,3012,383
2021,2514,3427,323
2021,2605,3281,342
2021,2407,3377,115
2021,1824,3364,268
2021,1636,2864,236
2021,2474,3052,244
2021,2846,2576,211
2021,2423,2879,164
2021,2676,2742,353
2022,2435,2704,241
2022,2802,2606,78
2022,2560,2150,71
2022,3640,2363,453
2022,4801,1813,258
2022,4649,2180,221
2022,5296,2404,189
2022,5944,2463,242
2022,6238,2390,44
2022,5797,2796,166
2022,9066,2064,296
2022,12742,2552,199
2022,13468,3252,117
2022,16338,3848,199
2022,17755,3819,106
2022,18123,4749,158
2022,22946,5280,72
2022,28481,7303,122
2022,34199,8193,134
2022,46387,15388,341
2022,41668,17053,106
2022,45136,21324,132
2022,45449,27961,77
2022,26514,30710,171
2022,55475,30226,154
2022,49771,34439,140
2022,51739,42653,153
2022,54537,30225,352
2022,50812,47649,405
2022,51570,32701,475
2022,42154,38458,729
2022,51887,40383,1205
2022,52199,41715,500
2022,42677,50821,601
2022,38684,41037,595
2022,33538,46813,444
2022,26729,49261,515
2022,22524,49586,860
2022,29471,46393,824
2022,23253,47882,854
2022,18420,43286,341
2022,16012,43087,492
2022,15184,38819,427
2022,11136,32004,146
2022,8989,24757,178
2022,11776,32027,304
2022,12223,21906,338
2022,8655,22707,319
2022,7780,21134,191
2022,6757,17086,524
2022,5427,14334,92
2022,4069,11026,128
2022,5691,10896,130
2022,5023,11077,188
2022,4064,9531,212
2022,3581,7837,177
2022,3262,7339,181
2022,2524,5499,62
2022,2010,5283,110
2022,2846,4325,168
2022,2373,5525,96
2022,2222,4673,161
2022,2190,3878,254
2022,1836,2988,124
2022,1408,3033,44
2022,1223,2424,83
2022,1791,1871,111
2022,1421,2130,88
2022,1426,2055,227
2022,1175,1612,73
2022,1088,2037,31
2022,885,1554,15
2022,809,1597,78
2022,1193,1034,72
2022,966,1444,50
2022,922,1329,130
2022,847,1321,59
2022,719,915,118
2022,596,908,24
2022,495,850,24
2022,702,730,52
2022,702,903,61
2022,558,773,74
2022,543,872,81
2022,496,693,141
2022,400,593,25
2022,346,471,25
2022,424,528,22
2022,438,562,21
2022,429,620,48
2022,418,454,79
2022,331,472,74
2022,310,458,8
2022,256,378,56
2022,354,282,67
2022,361,369,32
2022,291,323,36
2022,353,325,75
2022,347,383,21
2022,223,299,5
2022,196,265,18
2022,298,262,19
2022,301,328,64
2022,233,263,63
2022,192,303,23
2022,214,349,63
2022,279,236,12
2022,209,252,22
2022,355,191,53
2022,332,256,48
2022,315,242,31
2022,300,217,38
2022,281,203,24
2022,290,199,47
2022,255,325,26
2022,341,228,36
2022,347,300,14
2022,412,275,45
2022,337,353,36
2022,314,273,21
2022,250,286,15
2022,296,302,29
2022,386,179,52
2022,342,327,26
2022,400,318,20
2022,461,413,35
2022,381,292,26
2022,324,330,6
2022,346,317,48
2022,489,317,17
2022,413,302,8
2022,419,344,5
2022,523,445,8
2022,428,401,22
2022,321,299,18
2022,324,364,31
2022,596,366,6
2022,501,460,17
2022,556,362,23
2022,558,446,63
